username,date,tweet,fullname
@rirfm,2025-03-28 23:39,"Ya allah tunjukkan azabmu kepada pemerintah polisi tni yang berbuat jahat dan zalim kepada rakyat
#TolakRUUPolisi 
#TolakRevisiUUTNI 
#TolakDwifungsiABRI 
#IndonesiaGelap",the cried bluebird
@BanTerus288242,2025-03-28 23:39,Kalo gak mau gak ada yang maksa jadi TNI bos,Ban Terus
@NwtDinda,2025-03-28 23:39,"Ngerih banget narasinya buzzerr udh melebar ke setiap postingan, sengaja komentar kontra biar viral terus warga X pecah fokus ngebahas RUU TNI/PORLI",Ddd
@UseKidd,2025-03-28 23:38,"yak.

skrng aja ini mreka sok RUU TNI

besok bisa2 minta legalkan pernikahan sejenis ama legalkan transformer",UnderUseCaptainKidd
@bafarifa,2025-03-28 23:38,Beda konteks cok. HRS bkn lg ngomong soal UU TNI. 😅,Jadi gini...
@ghiffardana,2025-03-28 23:37,"Dari zakat kita belajar tentang rasa peduli, jangan mau menang sendiri.

Nah, dari pada bahas duit umat, mending bahas kas negara, aman?

Oh ya, kalau emang benar-benar belajar dari zakat, seharusnya RUU TNI tidak disahkan. Jadi, jangan salahkan rakyta bila berspekulasi liar.",Fardana Al-Ghiffari
@ovr_sleepers,2025-03-28 23:37,"Percaya sama diri kamu sendiri. ada yang aneh suarakan, itu demokrasi. kenapa minta cabut ? ya karena udah ketok palu. kinerja pemerintah level bawah butuh pengawasan, sipil yang kompeten banyak. ngapain tni ikut ikut bawa bedil ? kalo agendanya baik, kalotikus free pass korupsi",Rant Account
@kadavii__,2025-03-28 23:37,"kalian bisa ngomong gini 1000x tanpa ketakutan.
""DPR bubarin aja, ga guna kalau ga dengerin aspirasi rakyat. Korupsi mulu"".
tapi jika subjeknya TNI dan objeknya disesuaikan, maka..
militer tidak dididik untuk berdiskusi, sedang demokrasi ada karena pertikaian argumen.
#CabutUUTNI",iloveme
@musaKSQ,2025-03-28 23:36,Bonus utk anggota dari UUTNI hanyalah penambahan usia pensiun.. Tp para perwiranya selain penambahan usia pensiun kursi kursi nyaman diluar main job sng TNI berlimpah,Free Palestine
@galonkosongid,2025-03-28 23:36,Euym jangan lah itu. Sekela SAF aja bisa bikin jakarta mirip GAZA. bangunan TNI yg gentengnya di cat tulisan TNI gampang bgt diciriin.,aku
@_riverheaven,2025-03-28 23:36,Itu yang bikin video dan akun yang sebarkannya buta sejarah dan membelokan sejarah. Padahal PDIP justeru dihujat karena sahkan UU TNI. Terbantahkan  video diatas!!!,Embun Pagi💧💧
@grok,2025-03-28 23:36,"@grok @nessiejudge Pembahasan tentang RUU TNI sama RUU Polri bisa diubah jadi Bahasa Banjar supaya masyarakat Banjar paham. RUU TNI sudah disahkan 20 Maret 2025, ngasih peran baru macam ngadepin ancaman siber sama ngelindungi warga di luar negeri, plus buka jabatan sipil lebih banyak. RUU Polri masih dibahas, ada khawatir polisi kebanjiran kuasa tanpa pengawasan. Pemerintah cepet-cepetan mungkin gegara agenda Presiden Prabowo, tapi rakyat protes karna kurang musyawarah, takut demokrasi sama hak asasi terancam. Bahasa Banjar penting biar isu nasional nyampai ke urang Banjar.",Grok
